# ecutwfc_Ry  ecutrho_Ry  total_energy_Ry  total_energy_per_formula_unit_Ry_f.u.  HOMO_eV  LUMO_eV  GAP_eV  converged  iterations  wall_time
5  50  -680.31596312  -170.07899078  11.6067  9.9506  -1.6561000000000003  yes  11  18.30s
10  100  -794.88361731  -198.72090433  7.4385  8.4654  1.0269000000000004  yes  12  42.33s
15  150  -824.40824237  -206.10206059  8.087  8.6999  0.6128999999999998  yes  9  42.38s
20  200  -827.36904222  -206.84226056  8.1024  8.68  0.5776000000000003  yes  9  1m 6.72s
25  250  -827.60619321  -206.90154830  8.101  8.6737  0.5726999999999993  yes  9  1m31.97s
30  300  -827.61116814  -206.90279204  8.1007  8.6735  0.5728000000000009  yes  9  1m39.13s
35  350  -827.61429941  -206.90357485  8.1005  8.6732  0.5726999999999993  yes  9  2m17.35s
40  400  -827.61545617  -206.90386404  8.1003  8.673  0.5726999999999993  yes  9  2m28.23s
45  450  -827.61639718  -206.90409930  8.1002  8.6729  0.5727000000000011  yes  9  3m10.31s
50  500  -827.61860518  -206.90465130  8.1002  8.6729  0.5727000000000011  yes  9  3m19.66s
55  550  -827.62041862  -206.90510466  8.1002  8.6729  0.5727000000000011  yes  9  4m17.15s
60  600  -827.62104945  -206.90526236  8.1002  8.6728  0.5726000000000013  yes  9  4m46.46s
70  700  -827.62177581  -206.90544395  8.1000  8.6727  0.5720000000000000  yes  9  8m20.04s
