# ecutwfc_Ry  alat_A  ecutrho_Ry  total_energy_Ry  total_energy_per_fu_Ry_fu  converged  iterations  wall_time
30          12.15   300         -827.72996857    -206.9324921425            yes        12          31.97s
30          12.10   300         -827.73150918    -206.9328772950            yes        12          30.18s
30          12.05   300         -827.73297375    -206.9332434375            yes        12          30.00s
30          12.00   300         -827.73434725    -206.9335868125            yes        12          29.09s
30          11.95   300         -827.73561586    -206.9339039650            yes        12          29.27s
30          11.90   300         -827.73677067    -206.9341926675            yes        12          28.58s
30          11.85   300         -827.73779703    -206.9344492575            yes        12          29.46s
30          11.80   300         -827.73868533    -206.9346713325            yes        12          28.75s
30          11.75   300         -827.73941831    -206.9348545775            yes        12          28.85s
30          11.70   300         -827.73998808    -206.9349970200            yes        12          27.99s
30          11.65   300         -827.74038529    -206.9350963225            yes        12          28.98s
30          11.60   300         -827.74059723    -206.9351493075            yes        12          28.74s
30          11.55   300         -827.74061199    -206.9351529975            yes        12          28.47s
30          11.50   300         -827.74042199    -206.9351054975            yes        11          25.70s
30          11.45   300         -827.74001337    -206.9350033425            yes        11          26.43s
30          11.40   300         -827.73937408    -206.9348435200            yes        11          25.89s
30          11.35   300         -827.73849538    -206.9346238450            yes        11          27.19s
30          11.30   300         -827.73736288    -206.9343407200            yes        10          24.70s
30          11.25   300         -827.73596784    -206.9339919600            yes        10          24.19s
30          11.20   300         -827.7342978     -206.9335744500            yes        10          24.38s
30          11.15   300         -827.73234102    -206.9330852550            yes        11          26.24s
30          11.10   300         -827.73008157    -206.9325203925            yes        11          26.64s
30          11.05   300         -827.72750843    -206.9318771075            yes        10          24.70s
30          11.00   300         -827.72460898    -206.9311522450            yes        9           20.89s
30          10.95   300         -827.72136662    -206.9303416550            yes        11          25.70s
40          12.15   400         -827.73412783    -206.9335319575            yes        12          47.38s
40          12.10   400         -827.73567413    -206.9339185325            yes        12          46.89s
40          12.05   400         -827.73714446    -206.9342861150            yes        12          46.39s
40          12.00   400         -827.73852471    -206.9346311775            yes        12          46.77s
40          11.95   400         -827.73980211    -206.9349505275            yes        12          46.04s
40          11.90   400         -827.74096449    -206.9352411225            yes        12          46.53s
40          11.85   400         -827.74199824    -206.9354995600            yes        12          46.10s
40          11.80   400         -827.74289171    -206.9357229275            yes        12          1m 6.32s
40          11.75   400         -827.74363341    -206.9359083525            yes        12          47.99s
40          11.70   400         -827.74421303    -206.9360532575            yes        12          47.19s
40          11.65   400         -827.74461772    -206.9361544300            yes        12          46.68s
40          11.60   400         -827.74483737    -206.9362093425            yes        12          46.73s
40          11.55   400         -827.74486029    -206.9362150725            yes        12          45.62s
40          11.50   400         -827.74467622    -206.9361690550            yes        12          46.53s
40          11.45   400         -827.74427419    -206.9360685475            yes        11          41.87s
40          11.40   400         -827.74364264    -206.9359106600            yes        11          41.29s
40          11.35   400         -827.7427711     -206.9356927750            yes        10          40.30s
40          11.30   400         -827.74164832    -206.9354120800            yes        10          40.14s
40          11.25   400         -827.74026055    -206.9350651375            yes        10          38.69s
40          11.20   400         -827.73859687    -206.9346492175            yes        10          44.04s
40          11.15   400         -827.73664578    -206.9341614450            yes        11          42.98s
40          11.10   400         -827.73439378    -206.9335984450            yes        11          45.37s
40          11.05   400         -827.73182774    -206.9329569350            yes        10          41.30s
40          11.00   400         -827.72893324    -206.9322333100            yes        9           34.63s
40          10.95   400         -827.7256983     -206.9314245750            yes        9           33.36s
50          12.15   500         -827.73725595    -206.9343139875            yes        12          1m12.82s
50          12.10   500         -827.73880553    -206.9347013825            yes        12          1m12.09s
50          12.05   500         -827.74027547    -206.9350688675            yes        12          1m14.05s
50          12.00   500         -827.74165559    -206.9354138975            yes        12          1m10.02s
50          11.95   500         -827.7429346     -206.9357336500            yes        12          1m10.22s
50          11.90   500         -827.74409829    -206.9360245725            yes        12          1m 9.51s
50          11.85   500         -827.74513037    -206.9362825925            yes        12          1m11.39s
50          11.80   500         -827.74602595    -206.9365064875            yes        12          1m10.30s
50          11.75   500         -827.74676935    -206.9366923375            yes        12          1m 9.20s
50          11.70   500         -827.74734888    -206.9368372200            yes        12          1m 9.48s
50          11.65   500         -827.74775139    -206.9369378475            yes        12          1m 8.42s
50          11.60   500         -827.74797369    -206.9369934225            yes        12          1m 7.83s
50          11.55   500         -827.74799638    -206.9369990950            yes        12          1m 7.34s
50          11.50   500         -827.74781542    -206.9369538550            yes        12          1m 8.70s
50          11.45   500         -827.74741373    -206.9368534325            yes        11          1m 2.19s
50          11.40   500         -827.74678285    -206.9366957125            yes        11          1m 1.68s
50          11.35   500         -827.74590992    -206.9364774800            yes        10          1m 0.78s
50          11.30   500         -827.74478823    -206.9361970575            yes        10          59.38s
50          11.25   500         -827.74340296    -206.9358507400            yes        10          56.34s
50          11.20   500         -827.74174091    -206.9354352275            yes        9           48.99s
50          11.15   500         -827.73979345    -206.9349483625            yes        11          1m 4.42s
50          11.10   500         -827.73754059    -206.9343851475            yes        10          54.82s
50          11.05   500         -827.73497551    -206.9337438775            yes        9           48.10s
50          11.00   500         -827.73208497    -206.9330212425            yes        9           48.38s
50          10.95   500         -827.72885339    -206.9322133475            yes        9           46.71s
60          12.15   600         -827.73969933    -206.9349248325            yes        12          1m42.46s
60          12.10   600         -827.74124642    -206.9353116050            yes        12          1m43.77s
60          12.05   600         -827.74271721    -206.9356793025            yes        12          1m43.81s
60          12.00   600         -827.74409833    -206.9360245825            yes        12          1m43.30s
60          11.95   600         -827.74537616    -206.9363440400            yes        12          1m43.02s
60          11.90   600         -827.74653947    -206.9366348675            yes        12          1m42.63s
60          11.85   600         -827.74757397    -206.9368934925            yes        12          1m42.18s
60          11.80   600         -827.74846838    -206.9371170950            yes        12          1m44.75s
60          11.75   600         -827.74921114    -206.9373027850            yes        12          1m42.73s
60          11.70   600         -827.74979177    -206.9374479425            yes        12          1m42.36s
60          11.65   600         -827.75019748    -206.9375493700            yes        12          1m42.72s
60          11.60   600         -827.75041865    -206.9376046625            yes        12          1m43.52s
60          11.55   600         -827.75044327    -206.9376108175            yes        12          1m38.75s
60          11.50   600         -827.75026122    -206.9375653050            yes        12          1m38.13s
60          11.45   600         -827.74986176    -206.9374654400            yes        11          1m31.46s
60          11.40   600         -827.74923229    -206.9373080725            yes        11          1m30.67s
60          11.35   600         -827.74836308    -206.9370907700            yes        10          1m29.81s
60          11.30   600         -827.74724243    -206.9368106075            yes        10          1m26.05s
60          11.25   600         -827.74585747    -206.9364643675            yes        10          1m28.26s
60          11.20   600         -827.74419734    -206.9360493350            yes        11          1m48.42s
60          11.15   600         -827.74224896    -206.9355622400            yes        11          1m42.74s
60          11.10   600         -827.73999969    -206.9349999225            yes        11          1m35.27s
60          11.05   600         -827.73743653    -206.9343591325            yes        10          1m30.76s
60          11.00   600         -827.73454585    -206.9336364625            yes        9           1m16.90s
60          10.95   600         -827.73131386    -206.9328284650            yes        9           1m13.45s
# ecutwfc_Ry  alat_A  ecutrho_Ry  total_energy_Ry  converged  iterations  wall_time
30          12.14   300         -827.73028085    -206.9325702125            yes        12          29.96s
30          12.13   300         -827.73059202    -206.9326480050            yes        12          30.51s
30          12.12   300         -827.73090161    -206.9327254025            yes        12          29.80s
30          12.11   300         -827.73120616    -206.9328015400            yes        12          28.83s
30          12.09   300         -827.73180886    -206.9329522150            yes        12          29.44s
30          12.08   300         -827.73210538    -206.9330263450            yes        12          28.87s
30          12.07   300         -827.73239861    -206.9330996525            yes        12          28.68s
30          12.06   300         -827.73268797    -206.9331719925            yes        12          28.99s
30          12.04   300         -827.73325533    -206.9333138325            yes        12          30.03s
30          12.03   300         -827.73353492    -206.9333837300            yes        12          29.03s
30          12.02   300         -827.73381065    -206.9334526625            yes        12          28.91s
30          12.01   300         -827.73408022    -206.9335200550            yes        12          29.87s
30          11.99   300         -827.73461064    -206.9336526600            yes        12          29.76s
30          11.98   300         -827.73486887    -206.9337172175            yes        12          29.51s
30          11.97   300         -827.73512283    -206.9337807075            yes        12          29.30s
30          11.96   300         -827.73537132    -206.9338428300            yes        12          29.45s
30          11.94   300         -827.73585711    -206.9339642775            yes        12          29.34s
30          11.93   300         -827.73609284    -206.9340232100            yes        12          29.53s
30          11.92   300         -827.73632407    -206.9340810175            yes        12          28.80s
30          11.91   300         -827.73655011    -206.9341375275            yes        12          28.68s
30          11.89   300         -827.7369855     -206.9342463750            yes        12          28.68s
30          11.88   300         -827.7371972     -206.9342993000            yes        12          30.35s
30          11.87   300         -827.73740272    -206.9343506800            yes        12          28.43s
30          11.86   300         -827.73760211    -206.9344005275            yes        12          29.40s
30          11.84   300         -827.7379863     -206.9344965750            yes        12          29.03s
30          11.83   300         -827.73817026    -206.9345425650            yes        12          28.96s
30          11.82   300         -827.73834743    -206.9345868575            yes        12          28.80s
30          11.81   300         -827.73851924    -206.9346298100            yes        12          28.62s
30          11.79   300         -827.73884444    -206.9347111100            yes        12          29.57s
30          11.78   300         -827.73899785    -206.9347494625            yes        12          27.89s
30          11.77   300         -827.73914503    -206.9347862575            yes        12          29.54s
30          11.76   300         -827.73928476    -206.9348211900            yes        12          29.42s
30          11.74   300         -827.73954604    -206.9348865100            yes        12          28.55s
30          11.73   300         -827.7396675     -206.9349168750            yes        12          29.43s
30          11.72   300         -827.73978096    -206.9349452400            yes        12          29.47s
30          11.71   300         -827.73988866    -206.9349721650            yes        12          30.23s
30          11.69   300         -827.7400819     -206.9350204750            yes        12          28.89s
30          11.68   300         -827.74016816    -206.9350420400            yes        12          30.20s
30          11.67   300         -827.74024871    -206.9350621775            yes        12          29.27s
30          11.66   300         -827.74032036    -206.9350800900            yes        12          27.91s
30          11.64   300         -827.74044274    -206.9351106850            yes        12          28.75s
30          11.63   300         -827.74049163    -206.9351229075            yes        12          29.50s
30          11.62   300         -827.74053443    -206.9351336075            yes        12          29.45s
30          11.61   300         -827.74056958    -206.9351423950            yes        12          29.11s
30          11.59   300         -827.74061555    -206.9351538875            yes        12          28.66s
30          11.58   300         -827.74062677    -206.9351566925            yes        12          28.36s
30          11.57   300         -827.74062976    -206.9351574400            yes        12          29.34s
30          11.56   300         -827.74062447    -206.9351561175            yes        12          28.80s
30          11.54   300         -827.7405904     -206.9351476000            yes        12          28.69s
30          11.53   300         -827.74056073    -206.9351401825            yes        12          28.62s
30          11.52   300         -827.74052221    -206.9351305525            yes        12          28.92s
