# C_Ang  C_alat  Etot_Ry  Etot_per_fu_Ry  VBM_eV  CBM_eV  Gap_eV  EF_eV  Evac_Ry  Evac_eV  Phi_Evac_minus_EF_eV  IP_Evac_minus_VBM_eV  scf_time_s  pp_time_s  avg_time_s
5.0000  1.0975743607  -413.9002293800  -206.9501146900  9.3092000000  11.0884000000  1.7792000000  nan  0.5760202860  7.8371552439  nan  -1.4720447561  49.83  1.74  0.41
8.0000  1.7561189771  -413.8192936400  -206.9096468200  4.1693000000  5.1904000000  1.0211000000  nan  0.6419359810  8.7339839621  nan  4.5646839621  68.37  2.33  0.44
10.0000  2.1951487213  -413.7987689100  -206.8993844550  2.5123000000  3.4770000000  0.9647000000  nan  0.5104922220  6.9456005142  nan  4.4333005142  85.74  2.62  0.46
12.0000  2.6341784656  -413.7972003300  -206.8986001650  1.3814000000  2.3380000000  0.9566000000  nan  0.4237612180  5.7655650895  nan  4.3841650895  86.53  3.04  0.47
15.0000  3.2927230820  -413.7970991700  -206.8985495850  0.2322000000  1.1880000000  0.9558000000  nan  0.3387975330  4.6095752648  nan  4.3773752648  114.66  3.71  0.50
18.0000  3.9512676984  -413.7970949400  -206.8985474700  -0.5358000000  0.4199000000  0.9557000000  nan  0.2823212930  3.8411768746  nan  4.3769768746  119.09  4.03  0.52
20.0000  4.3902974427  -413.7970918900  -206.8985459450  -0.9199000000  0.0358000000  0.9557000000  nan  0.2540901390  3.4570724568  nan  4.3769724568  133.03  4.27  0.54
22.0000  4.8293271869  -413.7970917800  -206.8985458900  -1.2341000000  -0.2784000000  0.9557000000  nan  0.2309890625  3.1427662991  nan  4.3768662991  157.65  4.86  0.56
24.0000  5.2683569312  -413.7970913500  -206.8985456750  -1.4960000000  -0.5403000000  0.9557000000  nan  0.2117403965  2.8808748565  nan  4.3768748565  166.27  5.30  0.58
26.0000  5.7073866754  -413.7970908000  -206.8985454000  -1.7176000000  -0.7619000000  0.9557000000  nan  0.1954524450  2.6592659868  nan  4.3768659868  191.06  5.33  0.68
