# C_Ang  Evac_eV  EF_eV  VBM_eV  Phi_Evac_minus_EF_eV  IP_Evac_minus_VBM_eV
5.0000  7.83715524  nan  9.30920000  nan  -1.47204476
8.0000  8.73398396  nan  4.16930000  nan  4.56468396
10.0000  6.94560051  nan  2.51230000  nan  4.43330051
12.0000  5.76556509  nan  1.38140000  nan  4.38416509
15.0000  4.60957526  nan  0.23220000  nan  4.37737526
18.0000  3.84117687  nan  -0.53580000  nan  4.37697687
20.0000  3.45707246  nan  -0.91990000  nan  4.37697246
22.0000  3.14276630  nan  -1.23410000  nan  4.37686630
24.0000  2.88087486  nan  -1.49600000  nan  4.37687486
26.0000  2.65926599  nan  -1.71760000  nan  4.37686599
